label	ave_likelihood
Cd34_Selp|wt|Erythroid_Hepatocyte	0.28311830220243545
Jag2_Notch2|wt|Erythroid_Hepatocyte	0.5808723398240657
Efnb2_Ephb4|wt|Erythroid_Hepatocyte	0.46632801453794953
Angpt2_Tek|wt|Erythroid_Hepatocyte	0.19889401214944627
Dll4_Notch2|wt|Erythroid_Hepatocyte	0.6157126359143116
Jag1_Notch2|wt|Erythroid_Hepatocyte	0.612869158405381
Kitl_Kit|wt|Hepatocyte_Erythroid	0.5667427413036261
Efnb2_Ephb4|wt|Hepatocyte_Erythroid	0.9534562933569243
Angpt2_Tek|wt|Hepatocyte_Erythroid	0.37764006811615386
Jag1_Notch2|wt|Hepatocyte_Erythroid	0.33705385285185924
Jag2_Notch2|wt|Erythroid_Macrophage	0.27060782071385847
Efnb2_Ephb4|wt|Erythroid_Macrophage	0.19662618965538942
Dll4_Notch2|wt|Erythroid_Macrophage	0.2899284465376114
Jag1_Notch2|wt|Erythroid_Macrophage	0.36189810378813053
Efnb2_Ephb4|wt|SEC_Hepatocyte	0.2233926393892861
Efnb2_Ephb4|wt|Erythroid_Erythroid	0.5033238243209704
Angpt2_Tek|wt|Erythroid_Erythroid	0.2880296830836339
Jag1_Notch2|wt|Erythroid_Erythroid	0.4084289893865726
Angpt2_Tek|wt|Macrophage_Erythroid	0.5788279526085729
Jag2_Notch2|wt|Erythroid_Erythroidpro	0.20018994711712174
Efnb2_Ephb4|wt|Erythroid_Erythroidpro	0.23013999084531012
Dll4_Notch2|wt|Erythroid_Erythroidpro	0.21800873200157792
Jag1_Notch2|wt|Erythroid_Erythroidpro	0.171405171981545
Angpt2_Tek|wt|Erythroidpro_Erythroid	0.21833393317224392
Efnb2_Ephb4|wt|Erythroidpro_Erythroid	0.4302874778915833
Efnb2_Ephb4|wt|Erythroidpro_Hepatocyte	0.21399781590432523
Efnb2_Ephb4|wt|SEC_Erythroid	0.32190016165731056
Angpt2_Tek|wt|SEC_Erythroid	0.26040235836571046
Dll4_Notch2|wt|SEC_Erythroid	0.5133335030468804
Jag1_Notch2|wt|SEC_Erythroid	0.6115622787389232
Cd34_Selp|wt|Erythroid_SEC	0.2986258432789861
Jag2_Notch2|wt|Erythroid_SEC	0.39755536408413816
Efnb2_Ephb4|wt|Erythroid_SEC	0.33533230204256237
Angpt2_Tek|wt|Erythroid_SEC	0.3985180963387923
Dll4_Notch2|wt|Erythroid_SEC	0.355478687152376
